Time(s),dataset,Engine RPM (rpm),Ambient Air Temperature (°F),Vehicle Speed (MPH),Absolute Throttle Position (%),Absolute Load Value (%),Calculated Engine Load Value (%),Fuel Level Input (%),Engine Coolant Temperature (°F)
3511.9,dataset6,2290,86,79,33.9,82.7,30.3,80,203
3514.8,dataset6,2318,86,80,45.9,78.9,42,80.2,199
3517.7,dataset6,2319,86,80,46,54.5,39,80.4,198
3520.6,dataset6,2321,86,80,47.8,53.5,32.9,80.7,196
3523.5,dataset6,2321,86,80,47.8,21.2,33.2,81.6,196
3526.4,dataset6,2313,86,80,47.4,21.2,34.1,81.8,199
3529.3,dataset6,2313,86,80,46.7,39,34.6,83.2,200
3532.2,dataset6,2310,86,79,42.1,73.3,38.8,83.1,203
3535.1,dataset6,2306,86,79,30.2,73.8,38.8,83.5,203
3538,dataset6,2310,86,79,30.3,78.8,39.6,84.3,203
3540.9,dataset6,2328,86,80,32.9,78.5,41.6,83,205
3543.8,dataset6,2350,86,80,32.9,73.7,40.7,80,206
3546.7,dataset6,2543,86,80,30.9,73.2,38,80,208
3549.6,dataset6,2521,86,80,28.6,33.8,35.2,80,208
3552.5,dataset6,2291,86,79,27,33.7,24.7,79.8,208
3555.4,dataset6,2291,86,79,24.7,33.9,24.5,79.2,208
3558.3,dataset6,2259,86,78,25,34.1,22.8,79.3,207
3561.2,dataset6,2222,86,76,25.5,64.3,26.9,79.6,206
3564.1,dataset6,2241,86,77,32.4,116.5,63.1,79.7,203
3567,dataset6,2267,86,78,47.8,104.3,62.9,80.4,203
3569.9,dataset6,2342,86,78,48.1,73.7,33.7,80.4,202
3572.8,dataset6,2479,86,79,49,75.1,33.7,79.9,201
3575.7,dataset6,2433,86,79,45,79.6,36.8,79.2,201
3578.6,dataset6,2328,86,80,27.4,76.8,40.8,79.2,201
3581.5,dataset6,2326,86,80,26.1,62.8,38.3,79.2,202
3584.4,dataset6,2319,86,80,16.9,67.5,34.1,81.1,203
3587.3,dataset6,2323,86,80,18.1,102,37.2,84.3,204
3590.2,dataset6,2341,86,80,32.9,100.3,43.5,82.7,207
3593.1,dataset6,2338,86,80,32.9,60.4,42.1,78.8,207
3596,dataset6,2283,86,78,32.2,60.4,37.3,78.7,208
3598.9,dataset6,2283,87,78,31,66.6,37.5,78.1,208
3601.8,dataset6,2296,88,79,33,76.5,40,77.9,208
3604.7,dataset6,2313,88,80,37.2,77.1,40,76.5,208
3607.6,dataset6,2319,88,80,36.6,78.4,39.6,76.9,205
3610.5,dataset6,2328,88,80,34.9,78.5,39.6,81.6,205
3613.4,dataset6,2337,88,80,34.6,78.8,39.2,81.5,199
3616.3,dataset6,2353,88,81,33.7,64.5,39.2,79.2,199
3619.2,dataset6,2382,88,81,33.3,23.6,36.4,79.2,197
3622.1,dataset6,2457,88,80,31.4,31.1,32.5,79.1,194
3625,dataset6,2478,88,80,29.4,63.9,32.2,78.8,194
3627.9,dataset6,2544,88,80,17.3,58.7,31.8,79,194
3630.8,dataset6,2470,88,79,18.7,36.1,32.1,79.2,195
3633.7,dataset6,2255,88,78,27.8,38.6,32.5,78.6,196
3636.6,dataset6,2249,88,77,27.2,50.6,30.7,77.7,197
3639.5,dataset6,2229,88,76,22.3,50.6,27.5,77.8,199
3642.4,dataset6,2248,88,76,22.4,51.8,22.9,78,200
3645.3,dataset6,2419,88,75,24.2,52.4,9.4,79.5,201
3648.2,dataset6,2404,87,75,26.3,71.8,20.2,83.1,202
3651.1,dataset6,2210,86,76,31.9,70.6,58.8,82.2,203
3654,dataset6,2210,86,76,39.2,18.5,54.8,79.2,204
3656.9,dataset6,2222,86,76,36.7,18.4,34.1,79,207
3659.8,dataset6,2222,86,76,32.5,43.4,35.1,77.7,207
3662.7,dataset6,2233,86,77,31.7,79.6,43.1,78,208
3665.6,dataset6,2245,86,77,30.2,72.9,39.7,80.4,209
3668.5,dataset6,2335,86,77,35.6,62.4,8.6,80.5,210
3671.4,dataset6,2446,86,76,46.7,60.3,8.6,81.6,210
3674.3,dataset6,2341,86,76,39.5,56.5,9,81.4,207
3677.2,dataset6,2163,86,75,18,55.9,9,78.1,207
3680.1,dataset6,2153,86,74,18.3,54.5,22.4,78.1,203
3683,dataset6,2134,86,73,19.2,59.3,37.3,79.2,199
3685.9,dataset6,2140,86,74,26.8,72.2,47.3,79.3,197
3688.8,dataset6,2150,86,74,49.4,91.8,57.7,80,194
3691.7,dataset6,2189,86,75,46.5,132.1,61.2,80,193
3694.6,dataset6,2252,86,77,38.8,118,59.2,80.4,192
3697.5,dataset6,2243,86,77,30.4,88.2,7.9,80.3,196
3700.4,dataset6,2229,86,77,11,65.1,8.8,79.2,196
3703.3,dataset6,2256,86,75,14.3,13.4,29.8,79.1,198
3706.2,dataset6,2296,86,73,22.7,33.3,30,78.1,198
3709.1,dataset6,2231,86,73,25.4,76.9,42.3,78.1,198
3712,dataset6,2120,86,73,33.3,73.5,42.7,78.8,199
3714.9,dataset6,2126,86,73,31.7,66.7,56.8,78.6,200
3717.8,dataset6,2135,86,73,27.8,62.1,55.2,76.9,201
3720.7,dataset6,2127,86,73,28.6,54.1,34.1,77,203
3723.6,dataset6,2117,86,73,30.2,59.3,33.7,78.1,203
3726.5,dataset6,2121,86,73,28,68.2,29.8,78.1,207
3729.4,dataset6,2127,86,73,23.1,64,30,78.8,207
3732.3,dataset6,2122,86,73,29.7,55.7,35.3,78.8,207
3735.2,dataset6,2113,86,73,46.7,63.1,34.4,78.8,207
3738.1,dataset6,2092,86,73,40.6,79.2,9.8,78.8,208
3741,dataset6,2060,86,73,24.7,72.6,11.2,78.8,208
3743.9,dataset6,2075,86,72,24.8,58.8,35.7,78.9,208
3746.8,dataset6,2098,86,72,25.1,61.4,35.7,80,208
3749.7,dataset6,2104,86,72,24.7,66.7,34.9,80,207
3752.6,dataset6,2116,86,72,23.5,66.9,34.9,80,207
3755.5,dataset6,2116,86,72,27.1,67.5,35.9,80,204
3758.4,dataset6,2115,86,73,49.8,74.9,37.3,79.2,201
3761.3,dataset6,2131,86,73,48.7,110.6,41.1,78,201
3764.2,dataset6,2186,86,75,39.2,107.8,47.8,79.4,199
3767.1,dataset6,2191,86,75,38.3,89.8,36.9,81.6,199
3770,dataset6,2216,86,76,25.5,86.7,10.6,80.6,199
3772.9,dataset6,2212,86,76,25.4,55.3,15.8,78.8,200
3775.8,dataset6,2179,86,75,21.6,55.3,31,79.2,201
3778.7,dataset6,2177,86,75,21.6,49.8,30.7,80.4,202
3781.6,dataset6,2152,86,74,17.5,49.8,29.8,80.5,203
3784.5,dataset6,2151,86,74,12.2,53.7,30.7,80.8,203
3787.4,dataset6,2114,86,73,17.2,58.4,35.3,80.5,205
3790.3,dataset6,2115,86,73,24.3,72.6,37.6,79.2,205
3793.2,dataset6,2145,86,73,29.6,90.2,48.2,78.6,207
3796.1,dataset6,2146,86,73,37.3,87.7,47,75.7,207
3799,dataset6,2174,86,74,31.5,84.3,40,76.1,208
3801.9,dataset6,2174,85,75,22,79.5,39.9,78.4,209
3804.8,dataset6,2174,84,75,23.4,70.6,38.8,78.4,210
3807.7,dataset6,2175,84,75,27.1,73.2,38.8,77.7,210
3810.6,dataset6,2182,84,75,28.1,82.4,40.6,76.9,208
3813.5,dataset6,2209,84,76,36.1,80.6,43.5,77.9,203
3816.4,dataset6,2209,84,76,36.1,68.7,42.2,80.4,201
3819.3,dataset6,2214,84,76,35.6,68.6,37.6,80.4,196
3822.2,dataset6,2223,84,76,34.1,69.9,37.6,79.3,196
3825.1,dataset6,2225,84,77,33.4,76.9,38.4,78,195
3828,dataset6,2234,84,77,25.9,75.8,40,77.1,194
3830.9,dataset6,2232,84,77,26.1,69.4,38.3,75.7,195
3833.8,dataset6,2226,84,76,28.6,69.3,34.9,76.1,196
3836.7,dataset6,2228,84,77,28.6,68.2,34.8,76.9,197
3839.6,dataset6,2239,84,77,27.4,67.8,34.5,76.9,199
3842.5,dataset6,2239,84,77,27.5,61.2,34.5,76.9,200
3845.4,dataset6,2234,84,77,28.6,61.6,34.5,76.9,201
3848.3,dataset6,2234,84,77,29.8,69,34.7,76.9,202
3851.2,dataset6,2234,84,77,29.1,69,35.3,77.2,203
3854.1,dataset6,2234,84,77,28.2,67.1,35.1,78,204
3857,dataset6,2241,84,77,28.9,67.1,34.5,78,207
3859.9,dataset6,2241,84,77,29.8,67.3,34.4,78,207
3862.8,dataset6,2237,84,77,29.8,67.5,34.1,77.8,208
3865.7,dataset6,2237,85,77,29.8,68.6,34.3,76.9,208
3868.6,dataset6,2233,86,76,29.8,68.6,34.9,77.1,208
3871.5,dataset6,2233,85,76,29.8,68.3,34.9,78,208
3874.4,dataset6,2238,84,76,29.5,68.2,34.9,78,208
3877.3,dataset6,2238,84,76,29,67.6,34.9,78.1,208
3880.2,dataset6,2239,84,77,29.2,66.7,34.9,78,205
3883.1,dataset6,2239,84,77,29.8,66.7,34.9,76.9,205
3886,dataset6,2239,84,77,29.5,66.7,34.4,76.9,203
3888.9,dataset6,2238,84,77,28.2,66.4,33.7,76.5,199
3891.8,dataset6,2238,84,77,28.3,65.5,34,76.5,198
3894.7,dataset6,2239,84,77,28.6,65.5,34.5,76.9,196
3897.6,dataset6,2239,84,77,28.6,65.9,34.2,77.7,196
3900.5,dataset6,2238,84,76,29,65.9,33.3,77.8,198
3903.4,dataset6,2238,84,76,29,65.9,33.5,78,198
3906.3,dataset6,2236,84,77,29.2,65.9,34.1,78,199
3909.2,dataset6,2236,85,77,29.4,65.9,33.8,78,200
3912.1,dataset6,2235,86,77,28.7,65.9,32.9,77.4,201
3915,dataset6,2231,86,77,27.8,66.3,27.7,75.7,202
3917.9,dataset6,2164,86,75,28.2,66.3,8.2,75.7,205
3920.8,dataset6,2164,86,75,28.6,63,12.1,75.7,205
3923.7,dataset6,2166,86,75,29.2,59.2,34.9,75.7,207
3926.6,dataset6,2168,86,75,30.2,63.8,34.6,75.7,207
3929.5,dataset6,2177,86,75,31.9,70.6,32.5,76.2,208
3932.4,dataset6,2188,86,75,35.3,69,31.3,78.8,208
3935.3,dataset6,2164,86,75,27.6,66.3,12.6,78.7,210
3938.2,dataset6,2127,86,75,8.6,66.2,13.1,76.9,210
3941.1,dataset6,2476,86,74,16.4,65.9,91.3,76.9,209
3944,dataset6,3082,86,73,39.2,68.6,91.4,77.4,208
3946.9,dataset6,3050,86,74,36.4,76.9,63.8,78,206
3949.8,dataset6,2981,86,76,25.9,79,28.6,74.9,203
3952.7,dataset6,2785,86,77,27.1,86.3,34.1,74.9,201
3955.6,dataset6,2244,86,77,33.3,84,42.4,76.7,198
3958.5,dataset6,2247,86,77,32.9,73,40,79.2,196
3961.4,dataset6,2259,86,78,28.6,72.4,35.3,78.4,194
3964.3,dataset6,2260,86,78,28.6,67.1,35,76.9,194
3967.2,dataset6,2265,86,78,29.8,67.6,34.1,77.5,196
3970.1,dataset6,2265,86,78,29.8,75.3,35.1,79.2,196
3973,dataset6,2267,86,78,30.6,75.1,38.4,78.6,198
3975.9,dataset6,2267,86,78,31.4,70.2,37.2,76.9,198
3978.8,dataset6,2266,86,78,30.6,70.1,33.3,76.7,201
3981.7,dataset6,2266,86,78,29.8,65.5,33.6,76.1,202
3984.6,dataset6,2267,86,78,28.4,65.6,34.5,76.7,203
3987.5,dataset6,2267,86,78,26.7,69.4,34.9,78.8,203
3990.4,dataset6,2261,86,78,27.9,69.4,36.9,79.2,205
3993.3,dataset6,2261,86,78,30.2,68.5,36.7,81.6,205
3996.2,dataset6,2263,86,78,30,66.7,34.5,81.4,207
3999.1,dataset6,2266,86,78,29.4,66,34.5,76.5,207
4002,dataset6,2266,86,78,29.1,63.5,33.6,76.5,207
4004.9,dataset6,2265,86,78,26.7,63.8,32.2,76.9,208
4007.8,dataset6,2265,86,78,26.9,65.9,33.1,77.7,208
4010.7,dataset6,2264,86,78,29.4,66.4,34.9,77.3,208
4013.6,dataset6,2265,86,78,29.4,69.4,34.9,76.9,208
4016.5,dataset6,2268,86,78,29,69.3,34.9,76.7,207
4019.4,dataset6,2268,86,78,29,65.5,34.4,76.5,206
4022.3,dataset6,2269,86,78,29,65.5,32.5,76.6,201
4025.2,dataset6,2269,86,78,29,65.5,32.6,76.9,201
4028.1,dataset6,2268,86,78,28.8,65.5,33.3,76.9,200
4031,dataset6,2267,86,78,27.8,66,33.3,77.7,198
4033.9,dataset6,2266,86,78,28,67.9,33.6,78.8,198
4036.8,dataset6,2263,86,78,29.8,61.8,34.1,77.7,199
4039.7,dataset6,2283,86,77,29.4,12.2,26.1,75.7,200
4042.6,dataset6,2375,86,73,23.9,12.2,7.9,75.7,201
4045.5,dataset6,2366,86,73,23.9,13,11.9,75.7,201
4048.4,dataset6,2173,86,71,26.8,12.9,27.8,74.6,203
4051.3,dataset6,2171,86,71,30.6,21.7,29.1,71,203
4054.2,dataset6,2064,86,71,30.3,31.4,33.7,72,203
4057.1,dataset6,2065,86,71,29.8,45,34.5,75.7,203
4060,dataset6,2085,86,71,30.9,59.6,37.3,75.7,205
4062.9,dataset6,2086,86,71,32.2,60.4,36.8,75.7,205
4065.8,dataset6,2109,86,71,26.4,61.2,34.9,74.6,207
4068.7,dataset6,2101,85,71,19.2,37.3,29.8,70.6,207
4071.6,dataset6,1962,84,67,15.4,13.3,9.8,71.3,208
4074.5,dataset6,1961,84,67,11,54.1,16.9,73.3,208
4077.4,dataset6,1945,84,66,16.6,54.2,40.4,74.4,207
4080.3,dataset6,1945,84,66,22.7,56.5,40.8,77.3,207
4083.2,dataset6,1948,84,66,22.3,56.2,42,76.5,208
4086.1,dataset6,1948,84,66,21.9,53.4,41.1,74.9,208
4089,dataset6,1947,84,66,21.6,53.4,39.2,76.4,208
4091.9,dataset6,1947,84,66,21.6,53.7,39.5,79.2,208
4094.8,dataset6,1946,84,66,22,53.7,40,78.4,208
4097.7,dataset6,1946,84,66,21.9,53.4,40,76.9,208
4100.6,dataset6,1945,84,66,21.6,53.3,40,76.9,207
4103.5,dataset6,1945,84,66,21.6,54.1,39.9,76.9,206
4106.4,dataset6,1943,84,66,21.9,54.1,39.6,76.5,205
4109.3,dataset6,1943,84,66,22.4,53.9,39.7,74.9,205
4112.2,dataset6,1946,84,66,22,53.7,40.4,75.3,203
4115.1,dataset6,1949,84,66,21.6,56,41.3,76.9,203
4118,dataset6,1948,84,66,23.7,58.8,46.3,76.9,201
4120.9,dataset6,1948,84,66,26.7,57.7,45.8,76.9,201
4123.8,dataset6,1944,84,66,25.5,56.5,43.5,77.3,203
4126.7,dataset6,1944,84,66,23.5,55.3,42.9,79.2,203
4129.6,dataset6,1947,84,67,23.3,53.7,39.6,78.9,205
4132.5,dataset6,1950,84,67,22.7,53,40.1,75.7,205
4135.4,dataset6,1950,84,67,23.1,51.8,45.9,75.7,207
4138.3,dataset6,1951,84,67,23.9,51.7,45.9,75.7,207
4141.2,dataset6,1950,84,67,23.3,51.4,41.2,75.7,207
4144.1,dataset6,1948,84,67,21.2,51.6,35.7,79.2,208
4147,dataset6,1947,84,67,21.4,52.6,37.2,79.2,208
4149.9,dataset6,1946,84,66,22.7,53.5,39.2,77.9,208
4152.8,dataset6,1946,84,66,22.9,57.7,41.2,76.5,208
4155.7,dataset6,1945,84,66,23.9,57.7,43.9,76.1,208
4158.6,dataset6,1946,84,67,23.8,58.1,43.7,75.7,208
4161.5,dataset6,1950,84,67,22.7,57.9,43.5,76.7,207
4164.4,dataset6,1949,84,67,22.7,57.3,42.7,78,206
4167.3,dataset6,1948,84,67,22.7,59,41.6,76.9,205
4170.2,dataset6,1952,84,67,23.2,70.2,41.2,75.3,204
4173.1,dataset6,1968,84,68,26.7,68.7,40.4,75.9,203
4176,dataset6,1969,84,68,26.4,58.4,41.2,76.9,204
4178.9,dataset6,1975,84,68,23.5,58.3,42.7,76.3,205
4181.8,dataset6,1975,84,68,23.4,57.7,41.3,75.3,205
4184.7,dataset6,1973,84,68,21.6,57.2,38.4,76.2,207
4187.6,dataset6,1973,84,68,21.7,51.8,38.9,78,207
4190.5,dataset6,1972,84,68,23.9,52.2,40,77.6,208
4193.4,dataset6,1972,84,68,23.9,55.7,39.8,76.9,208
4196.3,dataset6,1969,84,68,23.9,56.3,39.2,76.9,208
4199.2,dataset6,1971,84,68,23.9,67.9,40.3,76.9,208
4202.1,dataset6,1982,84,68,24.7,67.8,43.1,76.5,208
4205,dataset6,1982,84,68,25.5,64.2,43.8,75.7,208
4207.9,dataset6,1982,84,68,27.3,60.9,45.9,76.6,207
4210.8,dataset6,1982,84,68,29.4,65.5,46,79.2,207
4213.7,dataset6,1977,84,68,28.6,65.5,46.3,78.5,207
4216.6,dataset6,1977,84,68,27.4,62.7,45.7,75.7,206
4219.5,dataset6,1978,84,68,26,58.8,41.2,75.6,203
4222.4,dataset6,1979,84,68,22.7,59,41.3,75.3,203
4225.3,dataset6,1978,84,68,22.8,59.2,43.1,75.3,205
4228.2,dataset6,1976,84,68,23.1,58.2,43.1,75.7,205
4231.1,dataset6,1976,84,68,23.9,55.7,42.8,75.7,206
4234,dataset6,1976,84,68,28.2,55.7,42.4,76.5,207
4236.9,dataset6,1976,84,68,27.9,55.7,42.2,77.7,207
4239.8,dataset6,1977,84,68,24.3,56.3,42,77.4,208
4242.7,dataset6,1976,84,68,24.8,60.4,42.3,76.9,208
4245.6,dataset6,1972,84,68,29.4,60.5,43.1,76.1,208
4248.5,dataset6,1973,84,68,29.4,62.4,43.2,74.5,208
4251.4,dataset6,1978,84,68,27.5,62.3,43.5,75.1,208
4254.3,dataset6,1978,84,68,25.1,58.8,43.4,76.9,208
4257.2,dataset6,1973,84,68,24.6,58.8,42.7,76.6,203
4260.1,dataset6,1973,84,68,23.9,59.3,43,75.7,203
4263,dataset6,1990,84,68,37.3,60,46.3,75.7,199
4265.9,dataset6,2015,84,68,66.3,89.4,47.7,75.7,199
4268.8,dataset6,2361,84,71,58.9,157.6,81.9,75.7,199
4271.7,dataset6,2965,84,76,38.4,151.9,81.9,75.7,199
4274.6,dataset6,2770,84,78,38.4,139.6,71.3,75.6,202
4277.5,dataset6,2426,84,81,38.4,105.9,70.9,74.9,205
4280.4,dataset6,2344,84,79,30.9,32.2,6.3,74.7,207
4283.3,dataset6,2211,85,76,11,26.4,6.4,72.6,208
4286.2,dataset6,2074,86,71,11,13.4,10.2,72.6,208
4289.1,dataset6,1857,86,64,11,14.2,10.2,73.3,208
4292,dataset6,1885,86,63,12.4,16.1,13.5,73.4,205
4294.9,dataset6,1938,86,60,16.9,42.7,16.9,74.5,201
4297.8,dataset6,1880,84,60,18.7,125.5,16.7,74.5,200
4300.7,dataset6,1742,84,62,27.1,117.6,16.5,74,198
4303.6,dataset6,1781,84,62,24.7,82,29.8,73.3,197
4306.5,dataset6,1903,84,64,11,72.1,51,74.7,196
4309.4,dataset6,1901,84,64,15.6,27.5,49.4,76.5,196
4312.3,dataset6,1896,84,63,56.1,42.8,46.7,77.1,198
4315.2,dataset6,1891,84,63,52.6,138.4,34.4,78,198
4318.1,dataset6,1875,84,65,10.6,130.9,12.9,76.2,199
4321,dataset6,1877,86,65,13.3,95.7,13.1,73.7,201
4323.9,dataset6,1882,86,65,31.4,89.9,13.3,74,203
4326.8,dataset6,1887,86,65,30.4,62.8,21.6,74.5,204
4329.7,dataset6,1915,86,66,11.8,62.1,41.6,74.6,207
4332.6,dataset6,1915,86,66,11.8,38.9,41.8,74.9,207
4335.5,dataset6,1906,86,66,11.5,38.8,43.5,74.7,207
4338.4,dataset6,1894,86,65,11,32.4,42.8,73.7,207
4341.3,dataset6,1797,86,63,11,24.7,38.8,75.1,208
4344.2,dataset6,1799,86,63,11,49.1,43.8,81.6,208
4347.1,dataset6,3030,86,64,26.8,80.8,74.1,81.3,208
4350,dataset6,3031,86,66,54.5,111.7,73.5,79.2,209
4352.9,dataset6,3003,86,70,41.8,161.2,69,79,212
4355.8,dataset6,2966,86,76,14.9,142.6,68.7,74.9,212
4358.7,dataset6,2681,86,76,23.4,102.3,62.7,75.1,210
4361.6,dataset6,2219,86,76,45.9,94.4,62.7,76.9,210
4364.5,dataset6,2235,86,77,45.5,74.9,60.4,76.9,209
4367.4,dataset6,2268,86,78,43.9,75.2,60.4,76.9,207
4370.3,dataset6,2271,86,78,44.6,76.5,52.9,76.9,204
4373.2,dataset6,2280,86,78,49,77.7,41.2,77.8,199
4376.1,dataset6,2283,84,78,47.6,85.5,41.2,79.2,199
4379,dataset6,2296,84,79,34.1,81.5,41.2,76.2,198
4381.9,dataset6,2322,84,79,34.1,60.4,38.6,71.4,198
4384.8,dataset6,2415,84,78,34.1,61.2,34.1,70.8,199
4387.7,dataset6,2390,84,78,34,69,35,69.8,200
4390.6,dataset6,2262,84,78,31,69,37.3,70.9,203
4393.5,dataset6,2262,84,78,31,70.6,37.3,73.3,203
4396.4,dataset6,2262,84,78,29.8,70.7,37.6,74,205
4399.3,dataset6,2260,84,78,29.7,71.8,34.7,75.7,205
4402.2,dataset6,2248,84,77,24.7,71.4,27.5,75.2,207
4405.1,dataset6,2247,84,77,24.7,65.5,29.2,73.7,207
4408,dataset6,2237,84,77,27,65.5,34.9,73.9,208
4410.9,dataset6,2237,84,77,27.1,66.8,35.1,74.9,208
4413.8,dataset6,2237,84,77,28.2,69,37.3,75,208
4416.7,dataset6,2236,84,77,31.8,68.4,37.3,76.9,208
4419.6,dataset6,2237,84,77,31.8,66.3,35.4,76.9,208
4422.5,dataset6,2240,84,77,32.1,66.9,32.9,75.9,207
4425.4,dataset6,2240,84,77,31.8,69.8,33.8,74.5,205
4428.3,dataset6,2238,84,77,29,69.5,35.3,75.5,201
4431.2,dataset6,2237,84,77,29,68.2,35.3,76.9,201
4434.1,dataset6,2235,84,77,28.6,68.1,35.3,75,199
4437,dataset6,2235,84,77,28.6,67.5,35,72.6,199
4439.9,dataset6,2237,84,77,28.6,67,34.5,73.3,198
4442.8,dataset6,2238,84,77,28.7,64.7,34.5,74.5,198
4445.7,dataset6,2240,84,77,29.8,65,34.5,73.8,199
4448.6,dataset6,2236,84,77,29.1,66.3,29.3,72.6,200
4451.5,dataset6,2219,84,76,23.9,66,20.8,73,201
4454.4,dataset6,2218,84,76,23.9,63.9,25.5,73.7,202
4457.3,dataset6,2209,84,76,27.8,63.9,34.9,74.9,203
4460.2,dataset6,2209,84,76,27.8,63.9,34.7,78,204
4463.1,dataset6,2213,84,76,26.4,63.9,33.7,76.8,207
4466,dataset6,2213,84,76,24.3,61.3,33.4,72.6,207
4468.9,dataset6,2210,84,76,24.7,57.7,31.4,72.8,207
4471.8,dataset6,2207,84,76,25.5,59.6,31.4,73.7,207
4474.7,dataset6,2207,84,76,25.2,62.7,31.8,74,208
4477.6,dataset6,2206,84,76,24.7,64.8,32.1,75.7,208
4480.5,dataset6,2206,84,76,26,68.2,36.1,75.5,208
4483.4,dataset6,2205,84,76,28.6,69.1,36.2,74.1,208
4486.3,dataset6,2206,84,76,28.6,70.6,36.9,74.2,207
4489.2,dataset6,2208,84,76,28.6,69.9,36.9,74.5,206
4492.1,dataset6,2207,84,76,29.1,68.6,37.6,74.5,203
4495,dataset6,2206,84,76,30.2,68.9,37.6,74.5,203
4497.9,dataset6,2207,84,76,29.5,69.4,36.5,74.6,199
4500.8,dataset6,2209,84,76,27.4,68.6,36.4,75.7,199
4503.7,dataset6,2209,84,76,27.7,66.7,34.1,75.6,199
4506.6,dataset6,2208,84,76,28.6,66.7,34.2,73.7,198
4509.5,dataset6,2206,84,76,30.7,66.7,38.4,73.8,198
4512.4,dataset6,2201,84,76,38.4,69.7,38.4,75.7,199
4515.3,dataset6,2203,84,76,37.4,80,38.9,75.7,200
4518.2,dataset6,2207,84,76,31.4,79.2,39.6,75,201
4521.1,dataset6,2207,84,76,31.4,71.4,39,73.7,202
4524,dataset6,2209,84,76,30.8,71.4,36.9,73.9,205
4526.9,dataset6,2209,84,76,29.8,71.1,36.9,74.5,205
4529.8,dataset6,2208,84,76,29.5,70.6,36.9,74.5,207
4532.7,dataset6,2206,84,76,28.6,70.3,36.9,73.7,207
4535.6,dataset6,2206,84,76,28.6,69,36.4,73.7,207
4538.5,dataset6,2205,84,76,28.6,68.9,35.3,74.4,208
4541.4,dataset6,2205,84,76,28.6,66.7,35.3,75.7,208
4544.3,dataset6,2209,84,76,28.8,66.7,35.3,74.9,208
4547.2,dataset6,2209,84,76,29,67.1,35.2,72.6,207
4550.1,dataset6,2209,84,76,28.9,67.1,34.9,73.1,203
4553,dataset6,2209,84,76,28.6,67.1,34.9,74.9,202
4555.9,dataset6,2208,84,76,28.3,67.1,34.9,74.8,198
4558.8,dataset6,2208,84,76,27.8,66.5,34.9,74.5,197
4561.7,dataset6,2209,84,76,27.2,65.9,34.9,74.3,192
4564.6,dataset6,2211,84,76,25.9,65.1,34.9,73.3,192
4567.5,dataset6,2208,84,76,26.6,63.9,34.5,73.4,192
4570.4,dataset6,2205,84,76,28.2,64.7,34.6,73.7,192
4573.3,dataset6,2206,84,76,28.4,66.3,35.3,73.9,194
4576.2,dataset6,2207,84,76,28.6,65.8,35.3,75.7,194
4579.1,dataset6,2207,84,76,27.9,64.7,34.5,75.5,196
4582,dataset6,2208,84,76,25.9,63.5,34.5,73.7,198
4584.9,dataset6,2209,84,76,26,60.8,32.5,73.7,198
4587.8,dataset6,2210,84,76,26.3,61.1,32.6,73.7,199
4590.7,dataset6,2209,84,76,26.8,62,34.5,73.7,200
4593.6,dataset6,2207,84,76,28.6,62.5,34.5,73.7,201
4596.5,dataset6,2208,84,76,28.6,63.9,34.5,73.7,202
4599.4,dataset6,2210,84,76,28.2,64.3,34.5,74.2,203
4602.3,dataset6,2210,84,76,28,66.3,34.4,74.9,204
4605.2,dataset6,2210,84,76,26.7,65.9,34.1,74.9,207
4608.1,dataset6,2210,84,76,26.7,62.8,33.9,74.9,207
4611,dataset6,2208,84,76,27.4,62.7,33.3,74.8,208
4613.9,dataset6,2208,85,76,27.4,62.8,33.2,74.5,208
4616.8,dataset6,2209,86,76,25.5,62.5,32.9,73.7,208
4619.7,dataset6,2201,86,76,25.5,12.2,28.6,71.4,208
4622.6,dataset6,2052,86,71,19.5,12.2,8.6,71.9,208
4625.5,dataset6,2047,86,71,11.4,12.9,9.2,73.7,208
4628.4,dataset6,1810,86,66,11.2,13.7,12.2,73.7,203
4631.3,dataset6,1810,86,62,11,34.4,12.9,73.3,203
4634.2,dataset6,1778,86,61,10.8,63.9,17.7,73,199
4637.1,dataset6,1740,86,60,10.6,61.1,18.6,70.6,199
4640,dataset6,1743,86,59,14.3,56.1,32.2,71.1,196
4642.9,dataset6,1747,86,58,23.1,59.3,31.5,76.9,196
4645.8,dataset6,1725,86,58,20.4,66.7,15.7,76.7,198
4648.7,dataset6,1685,86,58,12.2,71.3,15.7,73.3,198
4651.6,dataset6,1776,86,58,17.1,83.1,17.1,73.3,197
4654.5,dataset6,1973,86,59,35.7,69.9,18.8,73.5,196
4657.4,dataset6,1926,86,59,37.7,17.7,29.3,73.7,196
4660.3,dataset6,1787,86,60,50.2,25.3,46.7,73.3,198
4663.2,dataset6,1815,86,60,50.2,96.9,47.7,72.6,198
4666.1,dataset6,2241,86,63,45.4,96.9,52.5,72.5,199
4669,dataset6,2241,86,63,30.2,77.6,52.5,72.6,199
4671.9,dataset6,2241,86,63,30.2,15.3,50.6,72.6,199
4674.8,dataset6,1998,86,62,25.9,15.3,37.3,73.2,199
4677.7,dataset6,1756,86,60,19.2,29.9,36.1,75.7,199
4680.6,dataset6,1817,86,60,29.3,47.1,29.8,76.3,199
4683.5,dataset6,1840,86,60,41.7,93.7,25.7,78,199
4686.4,dataset6,2009,86,62,50.2,92.2,14.1,77.6,199
4689.3,dataset6,2022,86,62,48.7,67.9,24.1,76.9,199
